,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
28,28,3117.624,2023-01-25 10:10:40.912937,2023-01-25 10:37:12.041055,0 days 00:26:31.128118,2.556757236148941e-06,0.8526379235452259,2.5741503459567414e-07,17.5,0.5,2,2411,COMPLETE
29,29,3086.7599999999998,2023-01-25 10:37:12.081633,2023-01-25 11:00:11.925407,0 days 00:22:59.843774,3.4974897302939986e-05,0.8531834592402401,0.0009184305941081674,8.5,0.5,2,1866,COMPLETE
30,30,3215.2200000000003,2023-01-25 10:37:44.567494,2023-01-25 11:07:16.067547,0 days 00:29:31.500053,2.03963116094135e-05,0.8770914140573842,4.572895098004703e-05,5.5,0.5,2,2362,COMPLETE
31,31,3216.972,2023-01-25 11:00:11.972269,2023-01-25 11:29:52.996876,0 days 00:29:41.024607,1.285070803478492e-07,0.9229576924073093,0.00045066321299105965,9.0,0.4,3,2373,COMPLETE
32,32,2903.272,2023-01-25 11:07:16.100294,2023-01-25 11:27:05.000602,0 days 00:19:48.900308,1.8478342587353945e-08,0.8788372983943251,0.00012235607000759985,11.0,0.5,1,2216,PRUNED
33,33,3176.698,2023-01-25 11:27:05.000602,2023-01-25 11:51:40.464947,0 days 00:24:35.464345,1.1454278069837672e-08,0.9253976196294275,2.3401337496462215e-06,7.0,0.30000000000000004,3,2041,COMPLETE
34,34,3061.182,2023-01-25 11:29:53.012918,2023-01-25 11:56:46.739395,0 days 00:26:53.726477,1.0523255493581629e-08,0.9244053103449879,0.0007419396535868858,8.0,0.35,8,1943,COMPLETE
35,35,3298.84,2023-01-25 11:51:40.480571,2023-01-25 12:20:30.087743,0 days 00:28:49.607172,4.796806861641004e-07,0.9325630414070878,0.0997518720727084,12.5,0.35,7,1596,COMPLETE
36,36,3138.554,2023-01-25 11:56:46.751555,2023-01-25 12:20:25.978322,0 days 00:23:39.226767,2.0012580557089647e-06,0.9397613140137183,3.342541692224583e-05,16.5,0.35,1,2103,COMPLETE
37,37,3082.79,2023-01-25 12:20:25.978322,2023-01-25 12:49:02.808939,0 days 00:28:36.830617,2.2867398808758163e-06,0.949600710285078,0.0003676304856926726,6.0,0.35,4,2368,COMPLETE
38,38,3158.308,2023-01-25 12:20:30.087743,2023-01-25 12:41:12.176022,0 days 00:20:42.088279,1.9082243814330075e-06,0.9448484898219337,0.05961904862493622,10.0,0.45000000000000007,3,1711,COMPLETE
39,39,3007.7,2023-01-25 12:41:12.191634,2023-01-25 13:05:26.442247,0 days 00:24:14.250613,3.268304889852741e-08,0.9982527543024573,0.1939757990255418,16.5,0.35,9,1783,COMPLETE
40,40,3069.4399999999996,2023-01-25 12:49:02.849505,2023-01-25 13:15:06.910593,0 days 00:26:04.061088,1.7458320443672314e-05,0.9393745866245559,0.043747954255400054,12.5,0.25,6,1536,COMPLETE
41,41,3046.86,2023-01-25 13:05:26.442247,2023-01-25 13:33:10.451079,0 days 00:27:44.008832,1.6296271130134518e-06,0.931498484406551,0.2521662336226901,7.5,0.30000000000000004,9,1445,COMPLETE
42,42,3167.1359999999995,2023-01-25 13:15:06.973090,2023-01-25 13:41:02.863075,0 days 00:25:55.889985,6.785010407646816e-08,0.9356207196043064,0.13124351809290424,14.0,0.4,1,2446,COMPLETE
43,43,2890.1400000000003,2023-01-25 13:33:10.476157,2023-01-25 13:57:08.394405,0 days 00:23:57.918248,2.3078791205059152e-07,0.9195786286849357,0.8749977818221142,21.5,0.30000000000000004,8,1621,PRUNED
44,44,3055.27,2023-01-25 13:41:02.863075,2023-01-25 14:07:25.641183,0 days 00:26:22.778108,8.117086592185043e-08,0.9409678759058895,0.00022937910723802414,12.0,0.5,4,2130,COMPLETE
45,45,3119.4659999999994,2023-01-25 13:57:08.418740,2023-01-25 14:22:55.338632,0 days 00:25:46.919892,0.0016324651255191756,0.8763322351150028,3.2356917220555823e-06,10.5,0.5,1,2228,COMPLETE
46,46,3103.258,2023-01-25 14:07:25.681703,2023-01-25 14:39:04.286069,0 days 00:31:38.604366,8.913852879452005e-06,0.8782536227668494,2.2812943304537266e-05,13.5,0.5,5,2435,COMPLETE
47,47,2875.6600000000003,2023-01-25 14:22:55.409598,2023-01-25 14:48:43.541416,0 days 00:25:48.131818,0.001626311578135052,0.9253423214281892,0.1526150900417558,23.0,0.5,14,2002,PRUNED
48,48,2874.288,2023-01-25 14:39:04.364208,2023-01-25 14:59:12.486134,0 days 00:20:08.121926,0.03345480862787574,0.9759698652520661,0.021009685589524124,37.5,0.45000000000000007,10,426,PRUNED
49,49,2869.34,2023-01-25 14:48:43.541416,2023-01-25 15:16:08.908507,0 days 00:27:25.367091,1.2578805618149608e-06,0.9194521146324793,0.0795416847831222,36.5,0.25,24,890,PRUNED
50,50,3119.014,2023-01-25 14:59:12.486134,2023-01-25 15:27:28.981411,0 days 00:28:16.495277,9.954943136643337e-07,0.8766013169034558,0.0011113799697092862,5.5,0.5,4,2397,COMPLETE
51,51,3176.684,2023-01-25 15:16:08.908507,2023-01-25 15:45:11.062078,0 days 00:29:02.153571,1.0331868924307703e-05,0.8954286099576908,7.059106208727208e-05,7.5,0.4,1,2362,COMPLETE
52,52,3083.37,2023-01-25 15:27:28.993618,2023-01-25 15:55:22.453721,0 days 00:27:53.460103,6.084961383998359e-05,0.8967390650920576,3.43964680139708e-05,5.0,0.4,1,2337,COMPLETE
53,53,3063.222,2023-01-25 15:45:11.108956,2023-01-25 16:17:34.034738,0 days 00:32:22.925782,5.907254343025467e-07,0.9775514160212954,0.005563335937130247,15.0,0.4,22,106,COMPLETE
54,54,3121.756,2023-01-25 15:55:22.453721,2023-01-25 16:21:06.849207,0 days 00:25:44.395486,2.3972556106994653e-07,0.8742004027613007,3.037364159227165e-07,7.5,0.5,7,2322,COMPLETE
55,55,3214.63,2023-01-25 16:17:34.034738,2023-01-25 16:40:35.393078,0 days 00:23:01.358340,5.379791833786585e-07,0.9519095128397503,0.25344138602835337,15.0,0.4,12,739,COMPLETE
56,56,2992.6539999999995,2023-01-25 16:21:06.880452,2023-01-25 16:55:02.224318,0 days 00:33:55.343866,6.572944925385838e-05,0.8719767725974776,1.2956558757752804e-06,36.0,0.5,16,2366,COMPLETE
57,57,3112.98,2023-01-25 16:40:35.393078,2023-01-25 17:02:11.468714,0 days 00:21:36.075636,6.872733426576377e-05,0.9423919579371619,0.6005602721398627,8.0,0.5,11,452,COMPLETE
58,58,2802.64,2023-01-25 16:55:02.228780,2023-01-25 17:18:10.184925,0 days 00:23:07.956145,0.00018885857172315666,0.9429803300141253,0.26138498858276915,13.5,0.35,17,544,PRUNED
59,59,3154.8,2023-01-25 17:02:11.578087,2023-01-25 17:25:44.377318,0 days 00:23:32.799231,1.1317214968253072e-07,0.9343296151190651,0.05652583127219487,14.0,0.30000000000000004,13,546,COMPLETE
60,60,2974.44,2023-01-25 17:18:10.247425,2023-01-25 17:43:59.134771,0 days 00:25:48.887346,7.4557112663405365e-06,0.9794287533557309,0.5062763146608412,22.0,0.4,10,833,COMPLETE
61,61,3228.398,2023-01-25 17:25:44.392962,2023-01-25 17:48:48.288327,0 days 00:23:03.895365,7.043136650151994e-07,0.9803564748347425,0.011977719052584834,7.5,0.5,9,904,COMPLETE
62,62,3104.6600000000003,2023-01-25 17:43:59.201823,2023-01-25 18:11:41.020896,0 days 00:27:41.819073,1.0303816580543189e-08,0.9434371001935297,0.31298352183470457,14.5,0.45000000000000007,12,935,COMPLETE
63,63,3191.62,2023-01-25 17:48:48.356683,2023-01-25 18:12:41.266750,0 days 00:23:52.910067,3.411516366871532e-06,0.9601348628507907,0.0003826707686989341,12.5,0.4,7,1243,COMPLETE
64,64,3104.1400000000003,2023-01-25 18:11:41.101966,2023-01-25 18:35:49.534020,0 days 00:24:08.432054,3.4943646194567635e-07,0.9414118259197596,0.011268273425826971,7.5,0.45000000000000007,10,1016,COMPLETE
65,65,3321.4799999999996,2023-01-25 18:12:41.285444,2023-01-25 18:38:42.923396,0 days 00:26:01.637952,1.2876075110611158e-06,0.9493888957863639,0.26951050032316026,5.5,0.45000000000000007,12,1155,COMPLETE
66,66,3069.9900000000002,2023-01-25 18:35:49.549649,2023-01-25 18:58:15.409414,0 days 00:22:25.859765,1.2490254623746388e-05,0.9975388271285481,0.015566228260718157,8.0,0.45000000000000007,5,920,COMPLETE
67,67,3188.7039999999997,2023-01-25 18:38:42.923396,2023-01-25 19:02:03.176971,0 days 00:23:20.253575,9.462244363855997e-06,0.9807473473144455,0.01335912570252224,6.5,0.5,7,382,COMPLETE
68,68,3152.3360000000002,2023-01-25 18:58:15.452817,2023-01-25 19:21:19.773759,0 days 00:23:04.320942,2.3309347608202817e-07,0.9925277505244468,0.018722054488998364,9.5,0.45000000000000007,7,554,COMPLETE
69,69,3032.456,2023-01-25 19:02:03.176971,2023-01-25 19:30:28.363688,0 days 00:28:25.186717,1.8500183123697234e-07,0.9837537515402865,0.0012513557400896027,5.0,0.4,12,832,COMPLETE
70,70,2714.166,2023-01-25 19:21:19.773759,2023-01-25 19:46:02.007052,0 days 00:24:42.233293,1.3838510185932077e-08,0.9667230812129756,1.743888539715002e-05,23.5,0.30000000000000004,23,2496,PRUNED
71,71,3060.368,2023-01-25 19:30:28.363688,2023-01-25 19:58:26.832153,0 days 00:27:58.468465,3.9786432876683335e-07,0.9423962707139564,0.043021154925418206,17.0,0.35,18,1973,COMPLETE
72,72,3533.1400000000003,2023-01-25 19:46:02.022685,2023-01-25 20:14:59.752437,0 days 00:28:57.729752,1.6076871570255679e-06,0.9512789758618246,0.06349742295399431,8.5,0.5,16,1562,COMPLETE
73,73,2910.9199999999996,2023-01-25 19:58:26.844312,2023-01-25 20:22:36.177634,0 days 00:24:09.333322,2.5444695609294946e-06,0.9366996695149192,0.043938091163122105,6.0,0.45000000000000007,21,1105,PRUNED
74,74,3223.894,2023-01-25 20:14:59.830564,2023-01-25 20:36:35.981985,0 days 00:21:36.151421,9.399103873827311e-08,0.9588638351963391,0.998191487927438,8.0,0.45000000000000007,11,1716,COMPLETE
75,75,3058.164,2023-01-25 20:22:36.177634,2023-01-25 20:49:50.534004,0 days 00:27:14.356370,9.184163986759066e-08,0.9428588843620431,0.004617632329496962,15.0,0.5,14,1480,COMPLETE
76,76,3084.5199999999995,2023-01-25 20:36:36.087433,2023-01-25 21:09:22.791387,0 days 00:32:46.703954,3.890381111897982e-06,0.9729099608237499,0.28382490495017176,7.0,0.5,16,1579,COMPLETE
77,77,3002.7200000000003,2023-01-25 20:49:50.534004,2023-01-25 21:14:34.731040,0 days 00:24:44.197036,2.5057950820120602e-08,0.9767023209460636,0.29496031582312476,6.0,0.5,10,1982,COMPLETE
78,78,3380.56,2023-01-25 21:09:22.828873,2023-01-25 21:34:05.957403,0 days 00:24:43.128530,5.56732867750245e-07,0.9440313364067321,0.21576614131509972,5.5,0.5,11,1154,COMPLETE
79,79,3089.2940000000003,2023-01-25 21:14:34.753953,2023-01-25 21:39:22.659899,0 days 00:24:47.905946,1.7291487962724532e-05,0.9151722239213398,0.02242898138431639,5.5,0.5,11,1772,COMPLETE
80,80,3422.7400000000002,2023-01-25 21:34:05.973026,2023-01-25 22:01:34.965548,0 days 00:27:28.992522,3.371236533420758e-05,0.9434007805427275,0.6479276998903444,11.0,0.5,8,1584,COMPLETE
81,81,3581.72,2023-01-25 21:39:22.659899,2023-01-25 22:01:23.683854,0 days 00:22:01.023955,8.457834967292114e-06,0.9014541482975256,0.5163862403655425,8.0,0.5,4,986,COMPLETE
