,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
25,25,6601.24,2023-01-24 21:53:43.659981,2023-01-24 21:58:11.536359,0 days 00:04:27.876378,9.501994883447066e-05,0.865945031401526,0.003780151420369327,5.0,0.45000000000000007,1,1166,COMPLETE
26,26,6765.372,2023-01-24 21:57:19.298848,2023-01-24 22:01:34.911081,0 days 00:04:15.612233,0.0001408461859551328,0.9237728005456001,0.0002413990528692445,20.0,0.5,7,547,COMPLETE
27,27,6680.904,2023-01-24 21:58:11.536359,2023-01-24 22:02:29.633302,0 days 00:04:18.096943,0.0014714156996068451,0.9545232193691658,0.0009023700551736333,9.5,0.35,7,333,COMPLETE
28,28,6362.148,2023-01-24 22:01:34.926712,2023-01-24 22:05:29.096376,0 days 00:03:54.169664,5.622484251168453e-06,0.9503032190446762,0.0016909405940143418,7.5,0.35,2,217,COMPLETE
29,29,7159.8,2023-01-24 22:02:29.648934,2023-01-24 22:06:33.677675,0 days 00:04:04.028741,4.446194679982799e-06,0.850576002975207,0.2838698244546179,10.0,0.35,2,111,COMPLETE
30,30,6610.960000000001,2023-01-24 22:05:29.096376,2023-01-24 22:09:35.326659,0 days 00:04:06.230283,6.789586570888813e-06,0.8556113078954569,0.9554108027443853,14.0,0.35,2,1064,COMPLETE
31,31,6584.56,2023-01-24 22:06:33.693301,2023-01-24 22:10:38.627053,0 days 00:04:04.933752,1.4285632860372993e-05,0.8539608034509139,0.1691392916192099,14.5,0.30000000000000004,3,521,COMPLETE
32,32,6487.6799999999985,2023-01-24 22:09:35.326659,2023-01-24 22:14:38.126723,0 days 00:05:02.800064,4.055662898992128e-07,0.871513452236501,0.04424019309056017,5.5,0.30000000000000004,9,105,COMPLETE
33,33,6967.784,2023-01-24 22:10:38.642683,2023-01-24 22:13:54.608131,0 days 00:03:15.965448,4.508790413679244e-06,0.8655350284558894,0.0017176186000831437,10.0,0.4,2,468,COMPLETE
34,34,6515.544,2023-01-24 22:13:54.639380,2023-01-24 22:18:58.357936,0 days 00:05:03.718556,0.004963805962260432,0.8872408210059816,0.000382852132744823,18.0,0.45000000000000007,11,674,COMPLETE
35,35,6694.252,2023-01-24 22:14:38.142348,2023-01-24 22:18:08.714824,0 days 00:03:30.572476,0.0021618566745255268,0.8970832247160024,1.1865536724194487e-06,12.5,0.5,3,383,COMPLETE
36,36,6476.86,2023-01-24 22:18:08.730450,2023-01-24 22:22:21.523305,0 days 00:04:12.792855,0.03404053036473408,0.905388362826292,0.0006070162312415957,15.0,0.45000000000000007,5,738,COMPLETE
37,37,5898.6,2023-01-24 22:18:58.357936,2023-01-24 22:22:27.632780,0 days 00:03:29.274844,2.5084757075879593e-05,0.8638198984252847,0.24345358546726886,7.0,0.5,1,295,PRUNED
