,number,value,datetime_start,datetime_complete,duration,params_ent_coef,params_gamma,params_learning_rate,params_max_price,params_max_reserve_capacity_fraction,params_n_epochs,params_n_steps,state
29,29,3495.178,2023-02-01 17:51:18.373109,2023-02-01 18:52:17.387372,0 days 01:00:59.014263,0.03018283202552895,0.8517683739810843,0.0019064635295969645,17.5,0.45000000000000007,19,452,COMPLETE
30,30,3174.064,2023-02-01 18:32:11.587059,2023-02-01 19:33:04.363016,0 days 01:00:52.775957,0.0971050424129226,0.8830780197478089,5.7623854342252387e-05,24.5,0.5,21,358,COMPLETE
31,31,2045.8419999999999,2023-02-01 18:52:17.434249,2023-02-01 19:48:18.610054,0 days 00:56:01.175805,0.09327692629834208,0.855915091243209,0.010238102568008507,18.5,0.35,11,1078,COMPLETE
32,32,3198.554,2023-02-01 19:33:04.430675,2023-02-01 20:28:18.345018,0 days 00:55:13.914343,0.03756239645240798,0.8815450124766846,0.0004176875591348113,21.0,0.5,15,526,COMPLETE
33,33,3932.6479999999997,2023-02-01 19:48:18.610054,2023-02-01 20:49:56.007059,0 days 01:01:37.397005,0.010897013089240773,0.8690076326674568,0.0005406655516399494,19.5,0.4,21,181,COMPLETE
34,34,2293.1940000000004,2023-02-01 20:28:18.359917,2023-02-01 21:23:02.184838,0 days 00:54:43.824921,0.002261625117948451,0.8535371928900336,3.440114807115189e-05,13.0,0.4,13,307,COMPLETE
35,35,2941.3660000000004,2023-02-01 20:49:56.022679,2023-02-01 21:49:55.546777,0 days 00:59:59.524098,0.008067075391198596,0.953013849258188,0.025311163146488343,23.0,0.4,19,216,COMPLETE
36,36,2319.508,2023-02-01 21:23:02.184838,2023-02-01 22:23:06.329843,0 days 01:00:04.145005,0.09742665325963769,0.8659528536840169,0.006286601419658467,17.0,0.4,22,449,COMPLETE
37,37,1318.5040000000001,2023-02-01 21:49:55.558945,2023-02-01 22:50:42.003034,0 days 01:00:46.444089,0.04702074178270595,0.8791609865263504,0.0004157090032913541,12.5,0.30000000000000004,23,338,PRUNED
38,38,2198.782,2023-02-01 22:23:06.418351,2023-02-01 23:17:06.009609,0 days 00:53:59.591258,6.635939320848665e-05,0.8790642085944101,0.001102991580053599,20.0,0.30000000000000004,17,719,COMPLETE
39,39,2446.808,2023-02-01 22:50:42.003034,2023-02-01 23:47:34.888768,0 days 00:56:52.885734,0.01102626714407156,0.9125523823218913,0.017420308389193208,31.0,0.35,21,434,COMPLETE
