,number,value,datetime_start,datetime_complete,duration,state
0,0,3401.9,2023-02-03 05:27:56.623717,2023-02-03 07:14:39.564881,0 days 01:46:42.941164,COMPLETE
1,1,4054.702,2023-02-03 05:27:56.639341,2023-02-03 07:14:27.520488,0 days 01:46:30.881147,COMPLETE
2,2,6766.611999999999,2023-02-03 07:14:27.532624,2023-02-03 09:09:35.428946,0 days 01:55:07.896322,COMPLETE
3,3,6555.9,2023-02-03 07:14:39.760402,2023-02-03 09:11:21.598869,0 days 01:56:41.838467,COMPLETE
4,4,2988.9,2023-02-03 09:09:35.455489,2023-02-03 10:01:30.394487,0 days 00:51:54.938998,COMPLETE
