Policy,Balks,Regular Takes,Premium Takes,Base Revenue,Premium Revenue,Total Revenue
NO_PREMIUM_POLICY,30,37292,0,379786.599999996,0,379786.599999996
RULE_BASED_POLICY,750,30637,5974,373099.0999999985,57392.339999999924,430491.4399999969
PPO_POLICY,2187,24646,10468,356297.9999999992,120359.0,476656.99999999907
