Policy,Balks,Regular Takes,Premium Takes,Base Revenue,Premium Revenue,Total Revenue
NO_PREMIUM_POLICY,811,10505,0,820510.1999999954,0,820510.1999999954
RULE_BASED_POLICY,583,8873,1745,826719.4000000028,36941.39999999998,863660.8000000026
PPO_POLICY,613,8452,2272,835686.4,40034.86,875721.2600000009
