,number,value,datetime_start,datetime_complete,duration,state
0,0,3149.898,2023-01-26 04:00:34.350077,2023-01-26 04:29:59.205226,0 days 00:29:24.855149,COMPLETE
1,1,3760.0,2023-01-26 04:00:34.350077,2023-01-26 04:30:10.517948,0 days 00:29:36.167871,COMPLETE
2,2,3827.1759999999995,2023-01-26 04:29:59.205226,2023-01-26 04:59:33.229955,0 days 00:29:34.024729,COMPLETE
3,3,3177.332,2023-01-26 04:30:10.533564,2023-01-26 05:00:00.574543,0 days 00:29:50.040979,COMPLETE
4,4,3233.2019999999998,2023-01-26 04:59:33.229955,2023-01-26 05:14:01.476948,0 days 00:14:28.246993,COMPLETE
